PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: IEBT (Inst. Desenv. Empresas Base Tecnológica) | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 23 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),2,"$60,000.00",0,$0.00,0,$0.00,2,"$60,000.00",100.0%,Build with AI,"$30,000.00",Front-Loaded,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,2,"$60,000.00",0,$0.00,0,$0.00,2,"$60,000.00",100.0%,-,"$30,000.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hfx4dQAA"", ""A. Costa Empreendimentos e Participações S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eCPNOA2"", ""Gemini Enterprise - Projeto de Dados"")","$10,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Tamires Peres,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NyVWDIA3"", ""Pif Paf - Gemini Enterprise (tier1) #AIMBH26"")",001Kf0000149odXIAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hKBKoQAO"", ""Bamaq Sa Bandeirantes Maquinas e Equipamentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eD4tOAE"", ""BAMAQ - Engine de Inteligência Conversacional e RAG"")","$50,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OTJCzIAP"", ""BAMAQ - Engine de Inteligência Conversacional e RAG"")",001Kf0000149odXIAQ,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,001Kf00001I4EyCIAV,No Upgrades
Tier 3 ➔ Tier 2,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,001Kf00001I4EyCIAV,No Upgrades
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,001Kf00001I4EyCIAV,No Upgrades
TOTAL DRP TIER PROMOTIONS,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
No DRP tier promotions recorded for this partner in Q3 2026,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
No individual practitioner transitions recorded for this partner in Q3 2026,,,,,,,,,,,,,
